Publication Year,Author,Title,ISBN,Url,Abstract,Author Image,Book Cover,Date,Date Added,Num Pages,Short Title,Series,Publisher,Place,Place 2,Language,Library Catalog,Call Number,Extra,Notes,Automatic Tags,Editor,Series Editor,Translator,Contributor,StoryPoint,StoryPoint2,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,Tag 6,,,
2000,"Djebar, Assia",Algerian white: a narrative,978-1-58322-067-2,https://www.goodreads.com/book/show/681582.Algerian_White,"In Algerian White, Assia Djebar weaves a tapestry of the epic and bloody ongoing struggle in her country between Islamic fundamentalism and the post-colonial civil society. Many Algerian writers and intellectuals have died tragically and violently since the 1956 struggle for independence. They include three beloved friends of Djebar: Mahfoud Boucebi, a psychiatrist; M'Hamed Boukhobza, a sociologist; and Abdelkader Alloula, a dramatist; as well as Albert Camus. In Algerian White, Djebar finds a way to meld the personal and the political by describing in intimate detail the final days and hours of these and other Algerian men and women, many of whom were murdered merely because they were teachers, or writers, or students. Yet, for Djebar, they cannot be silenced. They continue to tell stories, smile, and endure through her defiant pen. Both fiction and memoir, Algerian White describes with unerring accuracy the lives and deaths of those whose contributions were cut short, and then probes even deeper into the meaning of friendship through imagined conversations and ghostly visitations.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320516803l/681582.jpg,2000,2/23/2022 18:00,233,Algerian white,,Seven Stories Press,US - New York,,eng,Library of Congress ISBN,DT295 .D5413 2000,,,"20th century; Algeria; History; Authors, Algerian; Islam and politics; Politics and literature; Revolution, 1954-1962",,,"De Jager, Marjolijn",,,,,,,,,,,,
2000,"Mosteghanemi, Ahlem",Memory in the flesh,978-977-424-529-9,https://www.goodreads.com/book/show/2738211-memory-in-the-flesh,"This novel, written originally in Arabic, takes the reader through the emotional and political upheavals that beset Algeria from the 1940s to the 1980s by following the paths of two of the emerging nation's new leaders, the one a militant artist, the other a young fiction writer.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1286586627l/2738211.jpg,2000,2/14/2022 3:55,245,,Modern Arabic writing,American University in Cairo Press,Egypt - Cairo,,eng,Library of Congress ISBN,PJ7846.O88 D4813 2000,,,,,,"Sreih, Baria Ahmar",,This novel is one of the most read ones in the Arab world and North Africa. Its sequels were never translated.,,,,,,,,,,
2001,"Al Shaykh, Hanan",Only in London,978-0-375-42133-4 978-0-7475-5304-5 978-0-385-72121-9,https://www.goodreads.com/book/show/287051.Only_in_London,"As a flight from Dubai comes in to London's Heathrow the aircraft hits turbulence and four people from different corners of the Arab world are thrown together: beautiful Lamis, recently divorced; Nicholas from Sothebys; noisy Amira, who lives off immoral earnings; and Samir, a transvestite.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320558203l/287051.jpg,2001,2/23/2022 4:42,,,,Pantheon Books,US - New York,,English,Open WorldCat,,OCLC: 973594202,,,,,"Cobham, Catherine",,,,,,,,,,,,
2001,"Barakat, Hoda",The tiller of waters,978-977-424-690-6,https://www.goodreads.com/book/show/4510433-the-tiller-of-the-waters,"This spellbinding novel narrates the many-layered recollections of a hallucinating man in devastated Beirut. The desolate, almost surreal, urban landscape is enriched by the unfolding of the family sagas of Niqula Mitri and his beloved Shamsa, the Kurdish maid. Mitri reminisces about his Egyptian mother and his father who came back to settle in Beirut after a long stay in Egypt. Both Mitri and his father are textile merchants and see the world through the code of cloth, from the intimacy of linen, velvet, and silk to the most impersonal of synthetics. Shamsa in turn relates her story, the myriad adventures of her parents and grandparents who moved from Iraqi Kurdistan to Beirut. Haunting scenes of pastoral Kurds are juxtaposed against the sedentary decadence of metropolitan residents. Barakat weaves into her sophisticated narrative shreds of scientific discourse about herbal plants and textile crafts, customs and manners of Arabs, Armenians, and Kurds, mythological figures from ancient Greece, Mesopotamia, Phoenicia, and Arabia, the theosophy of the African Dogons and the medieval Byzantines, and historical accounts of the Crusades in the Holy Land and the silk route to China. ''This is a dantesque journey to the underworld, recalling the bygone and evoking all that has disappeared. Narrating becomes a continuous confrontation with the death of meaning in our world.'' --Dr. Hoda Wasfi ''Barakat's novel pushes Arabic fiction to new horizons on both aesthetic and intellectual grounds. The characters are immersed in a very specific and local environment, yet exude a magnanimous humanity.'' --Dr. Abdel-Moneim Tallim",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348604113l/4510433.jpg,2001,2/14/2022 2:45,176,,Modern Arabic writing,American University in Cairo Press,Egypt - Cairo,New York,eng,Library of Congress ISBN,PJ7816.A672 H3713 2001,,,,,,"Booth, Marilyn",,Tillers of water was the winner of the Naguiba Mahfouz Medal for Literature. The award is giving to a modern Arabic novel that has not been translated to English. The novel is then translated and publisher by AUC press.,,,,,,,,,,
2001,"El Saadawi, Nawal",Love in the kingdom of oil,978-0-86356-337-9,https://www.goodreads.com/book/show/426345.Love_in_the_Kingdom_of_Oil?ac=1&from_search=true&qid=X99XnoZr9v&rank=1,"A woman disappears without a trace. The police commissioner investigating the case enquires: was she of dubious morals, was she the rebellious sort? Nobody understands how a woman could simply walk away from it all, leaving husband and home behind. After all, in the 'kingdom of oil' where 'His Majesty' reigns supreme, no woman has ever dared disobey the command of men. When she finally reappears there is a blurring of the distinctions between the men in her life. She leaves one to become the wife of another, and when she eventually returns to her first husband, she finds he has taken a new wife. In many ways, to her all men are one and the same ... In this rich novel El Saadawi dares anew to confront major issues and questions surrounding a woman's role and position in a repressive, patriarchal order.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312018996l/426345.jpg,2001,2/14/2022 3:40,134,,,Saqi Books,UK - London,,eng,Library of Congress ISBN,PJ7862.A3 H83 2001,,,Fiction; Muslim women,,,"Hatim, B.; Williams, Malcolm",,,,,,,,,,,,
2001,"Khoury-Ghata, Vénus",Here there was once a country,978-0-932440-89-1,https://www.goodreads.com/book/show/715923.Here_There_Was_Once_a_Country,"Lebanese writer Vénus Khoury-Ghata, who lives in France and has won many of France’s major literary prizes, blends French surrealism with Arabic poetry’s communal narrative mode in three stunning poetic sequences. Here brilliantly translated from the French by poet Marilyn Hacker, the English-speaking reader has rare insight into another world, another dimension.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347438591l/715923.jpg,2001,2/25/2022 14:48,103,,Field translation series,Oberlin College Press,"US - Oberlin, Ohio",,eng,Library of Congress ISBN,PQ2671.H6 A24 2001,,,,,,"Hacker, Marilyn",,,,,,,,,,,,
2001,,The poetry of Arab women: a contemporary anthology,978-1-56656-374-1,https://www.goodreads.com/book/show/643080.The_Poetry_of_Arab_Women,"Arab women poets work within one of the oldest literary traditions in the world, yet they are virtually unknown in the West. Uniting Arab women poets from the all over the Arab World anti abroad, Nathalie Handal has put together an outstanding collection that introduces poets who write in Arabic, French, English, and Swedish, among them some of the twentieth century's most accomplished poets and today's most exciting new voices.Translated by distinguished translators and poets from around the world, The Poetry of Arab Women showcases the work of 82 poets, among them: Etel Adnan, Andre Chedid, Salma Khadra Jayyusi, Naomi Shihab Nye, and Fadwa Tuqan.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348048709l/643080.jpg,2001,2/25/2022 2:52,355,The poetry of Arab women,,Interlink Books,US - New York,,eng,Library of Congress ISBN,PJ7694.E3 P57 2001,,,Translations into English; 20th century; Poetry; Arab authors; Arabic poetry; Women authors,"Handal, Nathalie",,,,,,,,,,,,,,
2002,"Tahawi, Miral",Blue aubergine,978-977-424-726-2,https://www.goodreads.com/book/show/387666.Blue_Aubergine?rating=3,"This novel tells the story of a young Egyptian woman, born in 1967, growing up in the wake of Egypt's defeat of that year, and maturing into womanhood against the social and political upheavals Egypt experienced during the final decades of the 20th century. Physically and emotionally scarred by her parents and the events of her childhood, and incapable of relating to men, Nada, ""Blue Aubergine,"" fumbles through a series of dark and unsettling adventures, resorting first to full Islamic dress with ""niqab"" and gloves, and then throwing it all off for the flowing hair and tight clothes of the emancipated young graduate student, in an ever more desperate and ultimately failed search for tenderness and affection. A frank assessment of the damage society wreaks by foisting unwise claustrophobic values on its children, this text shifts unpredictably through time and space. A mixed crowd of aunts and teachers, classmates and fellow students, Marxists and Islamicists are there to people Blue Aubergine's bewildering journey to the knowledge that the maintenance of chastity and innocence and her determination to cling to the threads of silk and lace that bind her to her past bring only misery and isolation.",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1174361804l/387666._SY475_.jpg,2002,2/23/2022 4:47,125,,Modern Arabic writing,American University in Cairo Press,Egypt - Cairo,,eng,K10plus ISBN,,,,,,,"Calderbank, Anthony",,,,,,,,,,,,
2002,"al Zayyat, Latifa",The open door,978-977-424-698-2,https://www.goodreads.com/book/show/119518.The_Open_Door,"The Open Door is a landmark of women's writing in Arabic. Published in 1960, it was very bold for its time in exploring a middle-class Egyptian girl's coming of sexual and political age, in the context of the Egyptian nationalist movement preceding the 1952 revolution. The novel traces the pressures on young women and young men of that time and class as they seek to free themselves of family control and social expectations. Young Layla and her brother become involved in the student activism of the 1940s and early 1950s and in the popular resistance to continued imperialist rule; the story culminates in the 1956 Suez Crisis, when Gamal Abd al-Nasser's nationalization of the Canal led to a British, French, and Israeli invasion. Not only daring in her themes, Latifa al-Zayyat was also bold in her use of colloquial Arabic, and the novel contains some of the liveliest dialogue in modern Arabic literature. ''Not only a great novel, but a literary landmark that shaped our consciousness.'' -- Abdel Moneim Tallima ''A great anticolonialist work in a feminist key.'' -- Ferial Ghazoul ''Latifa al-Zayyat greatly helped all of us Egyptian writers in our early writing careers.''-- Naguib Mahfouz",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266280944l/119518.jpg,2002,2/23/2022 4:14,364,,,American University in Cairo Press,Egypt - Cairo,New York,,Library of Congress ISBN,,,,,,,,,,,,,,,,,,,
2002,"El Saadawi, Nawal",Walking through fire: a life of Nawal El Saadawi,978-1-84277-076-4 978-1-84277-077-1,https://www.goodreads.com/book/show/159602.Walking_through_Fire?ac=1&from_search=true&qid=bVz2e76UEy&rank=2,"In A Daughter of Isis, Nawal El Saadawi painted a beautifully textured portrait of the childhood that moulded her into a novelist and fearless campaigner for freedom and the rights of women. Walking through Fire takes up the story of her extraordinary life. Famous for her novels, short stories and writings on women, Saadawi is known as the first Arab woman to have written about sex and its relation to economics and politics. Imprisoned under Sadat for her opinions, she has continued to fight against all forms of discrimination based on class, gender, nationality, race or religion. This autobiography shows the passion for justice that has shaped her life and her writing. We read about her as a rural doctor, trying to help a young girl escape from a terrible fate imposed on her by a brutal male tyranny. We follow her attempts to set up women's organizations and to publish magazines later banned by the authorities or endangered by fundamentalist threats. We travel with her into exile after the publication of her name on a death list. We witness her first marriage to a freedom fighter hounded into drug addiction by a system that has no mercy. We share her struggle against her 'false self' and a second husband who offers her financial security and comfort - provided she stops writing. We live the beautiful moments of her third marriage with a man released after fourteen years of imprisonment and hard labour - their love, companionship and shared struggle. Nawal El Saadawi has carved a place for herself in the universal struggle against oppression. 'Words should not seek to please, to hide the wounds in our bodies, or the shameful moments in our lives', she says. 'They may hurt, give us pain, but they can also provoke us to question what we have accepted for thousands of years.'",,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312056570l/159602.jpg,2002,2/14/2022 3:35,251,Walking through fire,,David Philip ; Zed Books : Distributed in the USA exclusively by Palgrave,South Africa,New York,eng,Library of Congress ISBN,PJ7862.A3 Z478 2002,,,"Biography; Egypt; Saʻdāwī, Nawāl; Women authors, Arab; Women physicians",,,,,,,,,,,,,,,
